Country,FoodItem,Highest Price,Lowest Price,Average Price
Australia,Bread,1.96,1.47,1.643666666666667
Australia,Milk,1.19,0.82,1.0031666666666668
Australia,Eggs,4.03,2.08,2.6476666666666664
Australia,Potatoes,2.77,2.18,2.4078333333333335
Sweden,Bread,2.53,1.82,2.087833333333333
Sweden,Milk,1.39,1,1.1681666666666668
Sweden,Eggs,3.49,2.56,2.922000000000001
Sweden,Potatoes,1.39,1.09,1.1836666666666664
Japan,Bread,1.52,1.34,1.4046666666666665
Japan,Milk,1.42,1.34,1.3753333333333342
Japan,Eggs,1.9,1.6,1.7151666666666663
Japan,Potatoes,3.03,2.59,2.764166666666666
"South Africa",Bread,0.88,0.69,0.7750000000000004
"South Africa",Milk,0.95,0.78,0.8484999999999999
"South Africa",Eggs,1.72,1.43,1.5641666666666665
"South Africa",Potatoes,1.07,0.87,0.955
Canada,Bread,2.48,2.18,2.3135
Canada,Milk,2.1,1.84,1.9544999999999997
Canada,Eggs,3.25,2.88,3.026166666666667
Canada,Potatoes,2.45,2.16,2.276666666666666
